Load earlier flights,,,,,,,Goshen Municipal Airport(GSH/KGSH)
Loading...,,,,,,,Goshen Municipal Airport(GSH/KGSH)
"Sorry, we don't have any information about flights for this airport",,,,,,,Goshen Municipal Airport(GSH/KGSH)
Canceled  14:17 EJA346 South Bend(SBN) CL35NetJets -,,,,,,,Goshen Municipal Airport(GSH/KGSH)
Diverted to  OKK  18:07  Kokomo(OKK) C72RN9924B -,,,,,,,Goshen Municipal Airport(GSH/KGSH)
Canceled  14:17 EJA346 South Bend(SBN) CL35NetJets -,,,,,,,Goshen Municipal Airport(GSH/KGSH)
Diverted to  OKK  18:07  Kokomo(OKK) C72RN9924B -,,,,,,,Goshen Municipal Airport(GSH/KGSH)
Canceled  14:17 EJA346 South Bend(SBN) CL35NetJets -,,,,,,,Goshen Municipal Airport(GSH/KGSH)
Diverted to  OKK  18:07  Kokomo(OKK) C72RN9924B -,,,,,,,Goshen Municipal Airport(GSH/KGSH)
Canceled  14:17 EJA346 South Bend(SBN) CL35NetJets -,,,,,,,Goshen Municipal Airport(GSH/KGSH)
Diverted to  OKK  18:07  Kokomo(OKK) C72RN9924B -,,,,,,,Goshen Municipal Airport(GSH/KGSH)
Canceled  14:17 EJA346 South Bend(SBN) CL35NetJets -,,,,,,,Goshen Municipal Airport(GSH/KGSH)
Diverted to  OKK  18:07  Kokomo(OKK) C72RN9924B -,,,,,,,Goshen Municipal Airport(GSH/KGSH)
Scheduled  18:07  Kokomo(OKK) C72RN9924B -,,,,,,,Goshen Municipal Airport(GSH/KGSH)
Scheduled  18:07  Kokomo(OKK) C72RN9924B -,,,,,,,Goshen Municipal Airport(GSH/KGSH)
Scheduled  18:07  Kokomo(OKK) C72RN9924B -,,,,,,,Goshen Municipal Airport(GSH/KGSH)
Scheduled  18:07  Kokomo(OKK) C72RN9924B -,,,,,,,Goshen Municipal Airport(GSH/KGSH)
Scheduled  18:07  Kokomo(OKK) C72RN9924B -,,,,,,,Goshen Municipal Airport(GSH/KGSH)
Scheduled  18:07  Kokomo(OKK) C72RN9924B -,,,,,,,Goshen Municipal Airport(GSH/KGSH)
"Tuesday, Mar 12",,,,,,,Goshen Municipal Airport(GSH/KGSH)
14:17,EJA346,South Bend (SBN)-,NetJets -,CL35 (),,Canceled,Goshen Municipal Airport(GSH/KGSH),"Tuesday, Mar 12 2024"
18:07,,Kokomo (OKK)-,-,C72R (N9924B),,Diverted to  OKK,Goshen Municipal Airport(GSH/KGSH),"Tuesday, Mar 12 2024"
14:17,EJA346,South Bend (SBN)-,NetJets -,CL35 (),,Canceled,Goshen Municipal Airport(GSH/KGSH),"Tuesday, Mar 12 2024"
18:07,,Kokomo (OKK)-,-,C72R (N9924B),,Diverted to  OKK,Goshen Municipal Airport(GSH/KGSH),"Tuesday, Mar 12 2024"
14:17,EJA346,South Bend (SBN)-,NetJets -,CL35 (),,Canceled,Goshen Municipal Airport(GSH/KGSH),"Tuesday, Mar 12 2024"
18:07,,Kokomo (OKK)-,-,C72R (N9924B),,Diverted to  OKK,Goshen Municipal Airport(GSH/KGSH),"Tuesday, Mar 12 2024"
14:17,EJA346,South Bend (SBN)-,NetJets -,CL35 (),,Canceled,Goshen Municipal Airport(GSH/KGSH),"Tuesday, Mar 12 2024"
18:07,,Kokomo (OKK)-,-,C72R (N9924B),,Diverted to  OKK,Goshen Municipal Airport(GSH/KGSH),"Tuesday, Mar 12 2024"
14:17,EJA346,South Bend (SBN)-,NetJets -,CL35 (),,Canceled,Goshen Municipal Airport(GSH/KGSH),"Tuesday, Mar 12 2024"
18:07,,Kokomo (OKK)-,-,C72R (N9924B),,Diverted to  OKK,Goshen Municipal Airport(GSH/KGSH),"Tuesday, Mar 12 2024"
"Wednesday, Mar 13",,,,,,,Goshen Municipal Airport(GSH/KGSH)
18:07,,Kokomo (OKK)-,-,C72R (N9924B),,Scheduled,Goshen Municipal Airport(GSH/KGSH),"Wednesday, Mar 13 2024"
18:07,,Kokomo (OKK)-,-,C72R (N9924B),,Scheduled,Goshen Municipal Airport(GSH/KGSH),"Wednesday, Mar 13 2024"
18:07,,Kokomo (OKK)-,-,C72R (N9924B),,Scheduled,Goshen Municipal Airport(GSH/KGSH),"Wednesday, Mar 13 2024"
18:07,,Kokomo (OKK)-,-,C72R (N9924B),,Scheduled,Goshen Municipal Airport(GSH/KGSH),"Wednesday, Mar 13 2024"
18:07,,Kokomo (OKK)-,-,C72R (N9924B),,Scheduled,Goshen Municipal Airport(GSH/KGSH),"Wednesday, Mar 13 2024"
18:07,,Kokomo (OKK)-,-,C72R (N9924B),,Scheduled,Goshen Municipal Airport(GSH/KGSH),"Wednesday, Mar 13 2024"
Load later flights,,,,,,,Goshen Municipal Airport(GSH/KGSH),"Wednesday, Mar 13 2024"
* All times are in local timezone,,,,,,,Goshen Municipal Airport(GSH/KGSH),"Wednesday, Mar 13 2024"
