Loading earlier flights...,,,,,,,El Paso Biggs Field Airport(BIF/KBIF)
Loading...,,,,,,,El Paso Biggs Field Airport(BIF/KBIF)
"Sorry, we don't have any information about flights for this airport",,,,,,,El Paso Biggs Field Airport(BIF/KBIF)
Departed 07:03 07:00 5Y8335 Houston(IAH) B744N480MCAtlas Air -,,,,,,,El Paso Biggs Field Airport(BIF/KBIF)
Departed 15:52 16:05 5Y8339 Baltimore(BWI) B763N662GTAtlas Air -,,,,,,,El Paso Biggs Field Airport(BIF/KBIF)
Departed 07:03 07:00 5Y8335 Houston(IAH) B744N480MCAtlas Air -,,,,,,,El Paso Biggs Field Airport(BIF/KBIF)
Departed 15:52 16:05 5Y8339 Baltimore(BWI) B763N662GTAtlas Air -,,,,,,,El Paso Biggs Field Airport(BIF/KBIF)
"Tuesday, Mar 12",,,,,,,El Paso Biggs Field Airport(BIF/KBIF)
07:00,5Y8335,Houston (IAH)-,Atlas Air -,B744 (N480MC),,Departed 07:03,El Paso Biggs Field Airport(BIF/KBIF),"Tuesday, Mar 12 2024"
16:05,5Y8339,Baltimore (BWI)-,Atlas Air -,B763 (N662GT),,Departed 15:52,El Paso Biggs Field Airport(BIF/KBIF),"Tuesday, Mar 12 2024"
07:00,5Y8335,Houston (IAH)-,Atlas Air -,B744 (N480MC),,Departed 07:03,El Paso Biggs Field Airport(BIF/KBIF),"Tuesday, Mar 12 2024"
16:05,5Y8339,Baltimore (BWI)-,Atlas Air -,B763 (N662GT),,Departed 15:52,El Paso Biggs Field Airport(BIF/KBIF),"Tuesday, Mar 12 2024"
Loading later flights...,,,,,,,El Paso Biggs Field Airport(BIF/KBIF),"Tuesday, Mar 12 2024"
* All times are in local timezone,,,,,,,El Paso Biggs Field Airport(BIF/KBIF),"Tuesday, Mar 12 2024"
